MP_PT,AU_Substance_SCTID,Int_Substance_SCTID
docusate + sennoside B,2044011000036100 + 2827011000036105,418700002 + 708617001
ichthammol,2212011000036107,387136003
olanzapine,2415011000036103,386849001
ezetimibe + simvastatin,2103011000036100 + 2588011000036103,409149001 + 387584000
insulin aspart,2783011000036109,325072002
lisinopril,2285011000036102,386873009
zolpidem,32174011000036105,387569009
montelukast,2358011000036108,373728005
moxonidine,2366011000036101,395805008
influenza trivalent vaccine 2013,83058011000036105,260210008
carmellose sodium + glycerol,35409011000036103 + 2175011000036107,51224002 + 80582002
risperidone,2563011000036105,386840002
leuprorelin,2268011000036106,397198002
inert substance,920012011000036105,22893005
desloratadine,31092011000036104,396015008
levetiracetam,2270011000036100,387000003
nicotine,2393011000036109,68540007
terbinafine,2628011000036101,373450007
ibuprofen + codeine,2211011000036101 + 1978011000036103,387207008 + 387494007
selinexor,,
epoetin lambda,922893011000036105,1156730006
glyceryl trinitrate,2176011000036100,387404004
betahistine,30825011000036105,418067008
buprenorphine,1880011000036103,387173000
voriconazole,32147011000036103,385469007
potassium chloride,2500011000036101,8631001
azithromycin,1828011000036105,387531004
alendronate,1773011000036103,96290008
chlorhexidine + lidocaine (lignocaine) + bufexamac,1933011000036106 + 2277011000036104 + 30867011000036105,373568007 + 387480006 + 273952005
omeprazole,2418011000036109,387137007
mirtazapine,2350011000036106,386847004
tadalafil,2613011000036102,407111005
citalopram,1952011000036103,372596005
factor II + factor VII + factor IX + factor X + protein C + protein S,31217011000036105 + 886401000168103 + 31218011000036106 + 31221011000036109 + 31834011000036103 + 886391000168100,7348004 + 30804005 + 54378000 + 81444003 + 25525005 + 56898001
oxerutins,31369011000036106,395815002
alogliptin + metformin,147651000036109 + 2318011000036103,702799001 + 372567009
barium,30805011000036101,39290007
sotalol,2596011000036101,372911006
alfentanil,30690011000036101,387560008
ferric derisomaltose,1085771000168109,71482002
ocriplasmin,804821000168100,710290003
alpelisib,1492341000168101,788050002
diphenhydramine,31134011000036107,372682005
toremifene,2675011000036106,387588002
donepezil,2049011000036104,386855006
atropine sulfate + hyoscine hydrobromide + hyoscyamine,1825011000036104 + 31371011000036102 + 31372011000036108,74237004 + 387477005 + 372757002
dorzolamide + timolol,2052011000036106 + 2661011000036104,373447009 + 372880004
atomoxetine,2733011000036101,407037005
cannabidiol,1256851000168104,96223000
celecoxib,1921011000036108,116081000
oxycodone,2432011000036103,55452001
clopidogrel + aspirin,1972011000036101 + 1817011000036100,386952008 + 387458008
misoprostol,2351011000036104,387242007
esomeprazole,2092011000036103,396047003
teriflunomide,123571000036106,703785006
irinotecan,2233011000036106,372538008
loratadine + pseudoephedrine,2292011000036106 + 2525011000036101,386884002 + 372900003
levodopa + carbidopa,2275011000036109 + 1904011000036100,387086006 + 73579000
memantine,31550011000036105,406458000
metformin,2318011000036103,372567009
ampicillin,1802011000036100,387170002
galcanezumab,1395741000168100,782371005
pravastatin,2502011000036102,373566006
imatinib,2217011000036109,414460008
trandolapril,2679011000036108,386871006
deferasirox,2741011000036101,419985007
paracetamol + codeine + doxylamine,2442011000036104 + 1978011000036103 + 31154011000036106,
tamsulosin,32012011000036104,372509005
doxylamine,31154011000036106,372478003
drospirenone + ethinylestradiol,31158011000036104 + 2096011000036104,410919000 + 126097006
ramipril,2549011000036101,386872004
cinacalcet,30987011000036102,409392004
fentanyl,2108011000036105,373492002
amino acid formula without phenylalanine,48203011000036105,52518006
hypromellose,2209011000036104,412410003
methylphenidate,2325011000036103,373337007
pneumococcal 23 valent vaccine,836611000168106,767571007
dinoprost,31131011000036109,387228004
leflunomide,2263011000036101,386981009
repaglinide,31864011000036107,386964000
tozinameran,1525001000168109,1157170002
fluoxetine,2125011000036108,372767007
nitrofurantoin,2397011000036100,373543005
ziprasidone,2771011000036100,409356003
nadroparin,765041000168100,699946002
measles + mumps + rubella + varicella-zoster live vaccine,826251000168106 + 829851000168103 + 829871000168107 + 829861000168101,120997001 + 121087003 + 120998006 + 260214004
sennoside B + senna leaf powder,2827011000036105 + 31926011000036100,
carvedilol,1909011000036104,386870007
insulin glargine,2790011000036100,411529005
bupivacaine,30869011000036103,387150008
linaclotide,1429751000168104,703126002
dichlorobenzyl alcohol + amylmetacresol,31113011000036104 + 30741011000036109,698274008 + 421472002
paracetamol + ibuprofen,2442011000036104 + 2211011000036101,
modafinil,2355011000036102,387004007
clindamycin,1963011000036101,372786004
cabergoline,1888011000036101,386979007
doxycycline,2060011000036100,372478003
dimethyl fumarate,143161000036107,724035008
fexofenadine,2109011000036102,372522002
caffeine + nicotinic acid + thiamine,30880011000036106 + 31630011000036101 + 2643011000036109,255641001 + 273943001 + 61768002
delta-9-tetrahydrocannabinol + cannabidiol,1257511000168104 + 1256851000168104,96225007 + 96223000
methadone,2320011000036107,387286002
alogliptin,147651000036109,702799001
azelastine,30797011000036106,372520005
mesalazine,2315011000036109,387501005
sildenafil,2585011000036109,372572000
cefotaxime,1915011000036104,372704003
ceftriaxone,1917011000036109,372670001
topiramate,2672011000036103,386844006
pioglitazone,2485011000036101,395828009
clarithromycin,1960011000036109,387487009
lamotrigine,2257011000036101,387562000
candesartan + hydrochlorothiazide,1898011000036100 + 2194011000036100,372512008 + 387525002
perindopril,2459011000036107,372916001
cefuroxime,1919011000036102,372833007
psyllium husk powder,2829011000036103,412049009
rizatriptan,31878011000036108,363573000
resorcinol + precipitated sulfur,31865011000036106 + 2825011000036100,
adefovir,1765011000036106,412072006
miconazole,2345011000036100,372738006
amphotericin B lipid complex,39544011000036109,425953004
paracetamol + pseudoephedrine + chlorphenamine,2442011000036104 + 2525011000036101 + 30971011000036102,
tinidazole,2663011000036103,395907001
pramipexole,31807011000036100,386852009
pholcodine,2480011000036105,396486005
telmisartan + hydrochlorothiazide,2619011000036104 + 2194011000036100,
paracetamol + chlorphenamine + dextromethorphan,2442011000036104 + 30971011000036102 + 31105011000036100,
paracetamol + phenylephrine + dextromethorphan,2442011000036104 + 2476011000036101 + 31105011000036100,
indinavir,2224011000036106,372529006
tar,2617011000036106,263894008
citric acid,1956011000036104,75399008
benzoyl peroxide,30818011000036105,91598004
sodium chloride,2591011000036106,387390002
aripiprazole,1816011000036103,406784005
shark cartilage,920904011000036106,412305001
hyoscine hydrobromide,31371011000036102,387477005
cetomacrogol aqueous cream + glycerol,30671011000036101 + 30818011000036105,396448001 + 80582002
haloperidol,2185011000036100,386837002
aspirin,1817011000036100,387458008
zinc,2718011000036102,86739005
lansoprazole,2261011000036102,386888004
Pelargonium sidoides,1148591000168107,700067006
disopyramide,2042011000036109,372844004
cyanocobalamin,1985011000036102,419382002
linagliptin + metformin,933240711000036108 + 2318011000036103,702798009 + 372567009
loperamide + simethicone,2289011000036100 + 2587011000036104,387040009 + 387442005
aluminium hydroxide + magnesium trisilicate + magnesium hydroxide,1781011000036107 + 2300011000036103 + 230111000036105,273944007 + 387117008 + 387337001
remdesivir,1480731000168109,870592005
aluminium hydroxide + magnesium hydroxide + simethicone,1781011000036107 + 2300011000036103 + 2587011000036104,273944007 + 387337001 + 387442005
risedronate,2562011000036103,387582001
dressing alginate superficial wound,48162011000036101,
valaciclovir,2697011000036105,96098007
gabapentin,2155011000036109,386845007
colecalciferol,1981011000036104,18414002
coal tar + salicylic acid,1977011000036104 + 2574011000036101,53034005 + 387253001
neostigmine,31619011000036100,373346001
eletriptan,31174011000036109,410843003
entecavir,2742011000036107,416644000
fluvoxamine,2138011000036104,372905008
retinol palmitate + colecalciferol + d-alpha-tocopherol,31868011000036100 + 1981011000036104 + 31074011000036100,
amoxicillin,1799011000036105,372687004
silica + horsetail extract + ascorbic acid + folic acid + pantothenic acid + ferrous fumarate + zinc + manganese + biotin + betacarotene,1352281000168102 + 1341351000168106 + 30781011000036102 + 2140011000036102 + 31697011000036106 + 2237011000036102 + 2718011000036102 + 31529011000036100 + 30839011000036109 + 30824011000036106,
amisulpride,1789011000036106,391761004
galantamine,2156011000036102,395727007
bortezomib,2737011000036105,407097007
dry psyllium seed + dry Tinnevelly senna fruit,826001000168102 + 826011000168104,54141007 + 768546006
bimatoprost + timolol,1862011000036101 + 2661011000036104,129492005 + 372880004
dasatinib,2845011000036102,423658008
doxorubicin,2058011000036109,372817009
krill oil,87501000036107,726756003
enoxaparin sodium,2774011000036102,108983001
finasteride,2112011000036105,386963006
temozolomide,2621011000036105,387009002
zinc oxide + octyl methoxycinnamate + 4-methylbenzylidene camphor,2719011000036105 + 2408011000036106 + 1749011000036101,
paracetamol + codeine,2442011000036104 + 1978011000036103,
irbesartan + hydrochlorothiazide,2232011000036104 + 2194011000036100,386877005 + 387525002
enalapril + hydrochlorothiazide,2071011000036102 + 2194011000036100,372658000 + 387525002
oxytocin,31679011000036109,112115002
amidotrizoic acid,30724011000036109,772986003
fludrocortisone,2119011000036100,116586002
deferiprone,2000011000036104,396011004
timolol,2661011000036104,372880004
articaine + adrenaline (epinephrine),30775011000036107 + 1767011000036101,703107005 + 387362001
zolmitriptan,2722011000036105,363582006
clopidogrel,1972011000036101,386952008
guaifenesin,31323011000036100,87174009
tramadol + paracetamol,2677011000036101 + 2442011000036104,
cetirizine,1928011000036104,372523007
lidocaine (lignocaine) + dichlorobenzyl alcohol + amylmetacresol,2277011000036104 + 31113011000036104 + 30741011000036109,387480006 + 698274008 + 421472002
varicella-zoster live vaccine,829871000168107,260214004
amlodipine,1792011000036100,386864001
morphine,2360011000036104,373529000
lorlatinib,1480901000168104,782976007
vancomycin,2701011000036109,372735009
choriogonadotropin alfa,2740011000036108,129494006
midazolam,31586011000036103,373476007
valsartan + hydrochlorothiazide,32126011000036103 + 2194011000036100,
desvenlafaxine,52368011000036108,430267008
levodopa + carbidopa + entacapone,2275011000036109 + 1904011000036100 + 2075011000036100,387086006 + 73579000 + 387018000
ascorbic acid + colecalciferol + dexpanthenol + nicotinamide + pyridoxine + retinol palmitate + riboflavin + thiamine,30781011000036102 + 1981011000036104 + 31101011000036102 + 31624011000036109 + 2532011000036107 + 31868011000036100 + 31873011000036103 + 2643011000036109,43706004 + 18414002 + 126226000 + 173196005 + 430469009 + 82622003 + 13235001 + 61768002
onasemnogene abeparvovec,1539511000168100,788110002
tenofovir disoproxil + emtricitabine,847021000168106 + 2070011000036109,
axitinib,154411000036102,427882000
alendronate + colecalciferol,1773011000036103 + 1981011000036104,96290008 + 18414002
fosinopril,2149011000036108,372510000
fluvastatin,2136011000036103,387585004
moroctocog alfa,31602011000036107,441764007
sodium alginate + bicarbonate + calcium carbonate,2830011000036107 + 2735011000036100 + 1894011000036107,
orphenadrine citrate + paracetamol,31665011000036103 + 2442011000036104,387167001 + 384977007
posaconazole,31794011000036106,421747003
icodextrin + sodium chloride + sodium lactate + calcium chloride + magnesium chloride,31381011000036105 + 2591011000036106 + 2752011000036109 + 1895011000036106 + 2299011000036101,412135003 + 387390002 + 387306001 + 387377009 + 45733002
temazepam,2620011000036103,387300007
duloxetine,31159011000036107,407032004
paracetamol + caffeine,2442011000036104 + 30880011000036106,
valsartan,32126011000036103,386876001
metoclopramide,2333011000036102,372776000
baclofen,1832011000036105,387342009
verapamil,2705011000036106,372754009
trandolapril + verapamil,2679011000036108 + 2705011000036106,
octocog alfa,31643011000036105,418888003
oryza sativa + citric acid + sodium chloride + potassium chloride,31666011000036105 + 1956011000036104 + 2591011000036106 + 2500011000036101,67324005 + 75399008 + 387390002 + 8631001
thiamine + riboflavin + nicotinamide + calcium pantothenate + pyridoxine + cyanocobalamin + folic acid,2643011000036109 + 31873011000036103 + 31624011000036109 + 31695011000036101 + 2532011000036107 + 1985011000036102 + 2140011000036102,
dosulepin (dothiepin),2054011000036102,414047005
phentermine,31746011000036107,373343009
salbutamol,2571011000036104,372897005
rabies vaccine,820591000168100,120980007
peginterferon alfa-2b,2449011000036109,395823000
ribavirin,2556011000036107,387188005
furosemide (frusemide),2153011000036108,387475002
tapentadol,134031000036101,441757005
clotrimazole,1975011000036109,387325003
erenumab,1239641000168109,771590007
hepatitis B vaccine,824451000168102,22290004
osteogenic protein-1,31670011000036103,412029000
sertraline,2583011000036108,372594008
rasagiline,40021000036104,418734001
urea + lactic acid,2695011000036100 + 2253011000036105,
etacrynic acid,2095011000036106,373536004
loratadine,2292011000036106,386884002
tramadol,2677011000036101,386858008
calcium + magnesium + zinc + manganese + phytomenadione + colecalciferol + ascorbic acid + folic acid,1893011000036105 + 2297011000036108 + 2718011000036102 + 31529011000036100 + 31759011000036100 + 1981011000036104 + 30781011000036102 + 2140011000036102,767178007 + 72717003 + 86739005 + 87869004 + 66656000 + 18414002 + 43706004 + 63718003
lurasidone,724631000168108,703115008
caspofungin,30919011000036107,413770001
octreotide,2406011000036107,109053000
rufinamide,1215401000168101,429835003
naproxen,2381011000036109,372588000
cimetidine,1946011000036101,373541007
aspirin + bicarbonate + citric acid,1817011000036100 + 2735011000036100 + 1956011000036104,387458008 + 68615006 + 75399008
arsenic,78579011000036101,47809000
triclosan,32089011000036106,387054001
candesartan,1898011000036100,372512008
ketamine,31453011000036105,373464007
sodium chloride + potassium citrate + glucose + citric acid,2591011000036106 + 950191000168104 + 2173011000036106 + 1956011000036104,
nandrolone decanoate,2377011000036109,412253000
glimepiride,2171011000036105,386966003
desirudin,31091011000036105,407117009
human papillomavirus bivalent vaccine,822741000168103,121025008
avalglucosidase alfa,,
prednisolone acetate + phenylephrine,2507011000036100 + 2476011000036101,
nifedipine,2394011000036106,387490003
calcium carbonate,1894011000036107,387307005
thioridazine,2646011000036103,372706001
bifonazole,1861011000036107,396036005
white soft paraffin + emulsifying wax + liquid paraffin,31704011000036108 + 32150011000036102 + 2819011000036108,
levocarnitine,1129831000168102,108958001
lercanidipine,2265011000036100,395986007
levodopa + benserazide,2275011000036109 + 1837011000036107,387086006 + 391821005
adalimumab,1764011000036107,407317001
vinorelbine,2712011000036100,372541004
alfuzosin,30692011000036102,395954002
tobramycin,2669011000036100,373548001
cetomacrogol aqueous cream,52996011000036104,396448001
tilactase,32066011000036104,28530008
everolimus,2101011000036101,428698007
etanercept,2094011000036107,387045004
estradiol,2409011000036103,126172005
loperamide,2289011000036100,387040009
flurbiprofen,2131011000036108,373506008
captopril,1901011000036103,387160004
acetylcysteine,1761011000036109,387440002
betamethasone valerate,1855011000036103,396005002
amorolfine,1797011000036103,391769002
pheniramine,2466011000036106,373500002
romosozumab,1431991000168109,787359005
chlorhexidine + ethanol,1933011000036106 + 31199011000036100,373568007 + 419442005
chlorhexidine + cetrimide,1933011000036106 + 30949011000036104,373568007 + 395895003
carboplatin,1907011000036106,386905002
quinapril,2539011000036102,386874003
beclometasone + formoterol (eformoterol),1835011000036102 + 2067011000036104,116574000 + 414289007
famotidine,2105011000036104,387211002
norfloxacin,2401011000036102,387271008
cranberry extract,87047011000036100,227421003
sodium chloride + sodium gluconate + sodium acetate trihydrate + potassium chloride + magnesium chloride,2591011000036106 + 2592011000036100 + 64901011000036100 + 2500011000036101 + 2299011000036101,
dressing hydroactive superficial wound light exudate,48178011000036106,
azathioprine,1827011000036109,372574004
fluticasone propionate,2135011000036105,396064000
mecobalamin (co-methylcobalamin),1180421000168101,781584003
insulin lispro + insulin lispro protamine,2785011000036105 + 2817011000036101,412210000 + 426313003
dressing contact layer lipidocolloid with sucrose octasulfate,,
pneumococcal 10 valent conjugate vaccine,826021000168106,714078004
meloxicam,2311011000036107,387055000
hydrocortisone,2195011000036101,396458002
potassium chloride + sodium chloride,2500011000036101 + 2591011000036106,
afatinib,157681000036100,703579002
buprenorphine + naloxone,1880011000036103 + 2374011000036103,387173000 + 372890007
niraparib,1432081000168103,733733005
paroxetine,2444011000036108,372595009
bicarbonate + citric acid + tartaric acid,2735011000036100 + 1956011000036104 + 2618011000036107,68615006 + 75399008 + 109233007
venlafaxine,2703011000036105,372490001
malathion,31527011000036107,87205003
conjugated estrogens,2413011000036104,126098001
chondroitin sulfate + glucosamine + manganese + boron,1106851000168109 + 31291011000036101 + 31529011000036100 + 932931000168102,4104007 + 70237008 + 87869004 + 70597009
dexmedetomidine,31099011000036109,437750002
perindopril + amlodipine,2459011000036107 + 1792011000036100,
raloxifene,2546011000036105,109029006
oxymetazoline,2435011000036106,387158001
pyrantel,2528011000036107,387193008
albutrepenonacog alfa,886361000168107,718928008
azelaic acid,30796011000036108,386936005
celery extract + celery seed oil,1423881000168104 + 1423891000168101,256326004 + 227383004
ibrutinib,717921000168103,710228002
influenza trivalent vaccine 2019,1293701000168105,260210008
calcium,1893011000036105,767178007
diltiazem,2024011000036103,372793000
salicylic acid,2574011000036101,387253001
atazanavir,1818011000036104,413592000
brompheniramine + phenylephrine + dextromethorphan,30863011000036101 + 2476011000036101 + 31105011000036100,372775001 + 372771005 + 387114001
zinc oxide,2719011000036105,42841002
tamoxifen,2615011000036101,373345002
chloramphenicol,1931011000036105,273949002
ergocalciferol,31183011000036102,23433006
menthol + pine oil pumilio,2313011000036108 + 31764011000036109,387414008 + 32050003
tranexamic acid,2680011000036108,386960009
bromhexine + guaifenesin,30860011000036109 + 31323011000036100,708561003 + 87174009
permethrin,2462011000036107,410457007
somatropin,2594011000036109,395883003
bitter candy tuft + Angelica archangelica + chamomile extract + caraway + St Mary's thistle extract + balm leaf extract + peppermint + celandine + liquorice extract,1293901000168108 + 1293911000168106 + 1293921000168104 + 1293931000168101 + 1293941000168105 + 1293951000168107 + 1293961000168109 + 1293971000168103 + 1293981000168100,None + 256326004 + 256214007 + 227381002 + 720488001 + 766800006 + 52283007 + None + 31347007
dressing with silver,48159011000036101,47184009
pomalidomide,672641000168101,703789000
ascorbic acid,30781011000036102,43706004
macrogol-3350 + sodium chloride + potassium chloride + sodium sulfate,2799011000036106 + 2591011000036106 + 2500011000036101 + 52367011000036107,712566007 + 387390002 + 8631001 + 69958001
prepared coal tar,2836011000036105,53034005
paracetamol + codeine + phenylephrine,2442011000036104 + 1978011000036103 + 2476011000036101,
phenylephrine + paracetamol + chlorphenamine,2476011000036101 + 2442011000036104 + 30971011000036102,
granisetron,2182011000036108,372489005
influenza trivalent vaccine 2015,702421000168109,260210008
flecainide,2113011000036103,372751001
anti-D rho immunoglobulin,73637011000036104,112162009
capecitabine,1900011000036105,386906001
ezetimibe + atorvastatin,2103011000036100 + 1821011000036101,409149001 + 373444002
norethisterone + ethinylestradiol,2399011000036107 + 2096011000036104,126102009 + 126097006
paraldehyde,31706011000036100,387190006
levothyroxine,2649011000036107,710809001
olive oil + soya oil + alanine + arginine + aspartic acid + glutamic acid + glycine + histidine + isoleucine + leucine + lysine + methionine + phenylalanine + proline + serine + threonine + tryptophan + tyrosine + valine + glucose,31645011000036106 + 31977011000036101 + 30679011000036102 + 30763011000036104 + 30782011000036108 + 31295011000036104 + 2177011000036102 + 31345011000036101 + 31429011000036107 + 31475011000036109 + 2294011000036102 + 31572011000036106 + 31749011000036103 + 31824011000036100 + 31930011000036100 + 32053011000036101 + 32104011000036100 + 32112011000036107 + 32125011000036105 + 2173011000036106,41834005 + 226911007 + 58753009 + 52625008 + 44970006 + 85214009 + 15331006 + 60260004 + 14971004 + 83797003 + 75799006 + 70288006 + 63004003 + 52541003 + 14125007 + 52736009 + 54821000 + 27378009 + 72840006 + 67079006
glucose + sodium chloride + sodium lactate + calcium chloride + magnesium chloride,2173011000036106 + 2591011000036106 + 2752011000036109 + 1895011000036106 + 2299011000036101,67079006 + 387390002 + 387306001 + 387377009 + 45733002
paracetamol + pseudoephedrine,2442011000036104 + 2525011000036101,
dressing non adherent,48186011000036100,
bandage zinc paste,48157011000036108,86739005
chlorhexidine,1933011000036106,373568007
dimeticone-350 + cetrimide,2798011000036103 + 30949011000036104,395942002 + 395895003
salicylic acid + lactic acid + podophyllum resin,2574011000036101 + 2253011000036105 + 31780011000036102,
tolvaptan,686871000168100,443058000
suvorexant,901161000168107,708714001
peppermint water,87051011000036106,52283007
budesonide + formoterol (eformoterol),1879011000036103 + 2067011000036104,395726003 + 414289007
bromhexine,30860011000036109,708561003
oxycodone + naloxone,2432011000036103 + 2374011000036103,55452001 + 372890007
insulin neutral human,2815011000036106,96367001
zopiclone,2723011000036103,395929002
glycerol + light liquid paraffin + white soft paraffin,2175011000036107 + 2818011000036100 + 31704011000036108,80582002 + 713361007 + 419633007
suxamethonium,32005011000036105,372724004
prochlorperazine,2513011000036106,372853006
paracetamol + dextromethorphan + doxylamine,2442011000036104 + 31105011000036100 + 31154011000036106,
ubidecarenone + d-alpha-tocopherol,32114011000036103 + 31074011000036100,
atropine sulfate,1825011000036104,74237004
cadexomer-iodine,2812011000036103,412595005
tildrakizumab,1235211000168105,771591006
light liquid paraffin + wool fat,2818011000036100 + 32154011000036107,713361007 + 35605007
chlorhexidine + isopropyl alcohol,1933011000036106 + 31432011000036104,373568007 + 85062008
ciprofloxacin,1949011000036105,372840008
xylometazoline,32157011000036101,372841007
ezetimibe,2103011000036100,409149001
coal tar solution + salicylic acid,2835011000036103 + 2574011000036101,53034005 + 387253001
zoledronic acid,2721011000036104,395926009
apixaban,933234161000036104,698090000
sitagliptin,35844011000036101,423307000
follitropin beta,2142011000036103,103028007
domperidone,2048011000036107,387181004
umeclidinium,673271000168100,706898002
metronidazole,2339011000036104,372602008
glucose indicator blood,48144011000036100,
quinapril + hydrochlorothiazide,2539011000036102 + 2194011000036100,
paclitaxel,2437011000036101,387374002
hydromorphone,2198011000036107,44508008
selenium,2762011000036104,22038003
parecoxib,31707011000036102,409135005
glycomacropeptide formula with docosahexaenoic acid and low phenylalanine,897111000168107,
brivaracetam,876361000168100,420813001
influenza quadrivalent vaccine 2017,702441000168103,260210008
bevacizumab,30834011000036108,409406007
gadoversetamide,31273011000036109,409476008
zonisamide,35835011000036103,125693002
paliperidone,33915011000036109,426276000
bosutinib,875011000168107,703128001
glycomacropeptide and essential amino acids with vitamins and minerals,123561000036103,
rivastigmine,2566011000036104,395868008
monobasic potassium phosphate,64907011000036108,61244006
cefazolin,1926011000036103,387470007
hydrochloric acid,1212191000168109,27763000
fenofibrate,2107011000036109,386879008
ethanol,31199011000036100,419442005
paricalcitol,31709011000036109,108946001
lercanidipine + enalapril,2265011000036100 + 2071011000036102,395986007 + 372658000
fluorometholone,2122011000036100,2925007
tenofovir disoproxil,847021000168106,421203005
pseudoephedrine,2525011000036101,372900003
rabies virus immunoglobulin,73642011000036102,120850003
ivabradine,31441011000036106,421228002
avanafil,882081000168100,703956007
formoterol (eformoterol),2067011000036104,414289007
povidone-iodine,2813011000036105,386989006
folic acid + iodine,2140011000036102 + 1889011000036109,63718003 + 44588005
etoricoxib,31206011000036109,409134009
gemfibrozil,2164011000036102,387189002
epoetin alfa,2079011000036103,386947003
diazepam,2015011000036105,387264003
levocabastine,2273011000036108,372554006
trabectedin,1556361000168104,433127001
iotalamic acid,955521000168100,395982009
liquid paraffin,2819011000036108,255667006
dalteparin sodium,2773011000036104,108987000
glatiramer acetate,2810011000036102,108755008
fish oil,75893011000036103,735341005
nevirapine,2391011000036108,386898005
influenza trivalent vaccine 2010,83058011000036105,260210008
benzydamine + cetylpyridinium,1845011000036101 + 30954011000036102,421319000 + 387043006
human menopausal gonadotrophin,31315011000036105,8203003
docetaxel,2043011000036102,386918005
brigatinib,1359161000168108,736634002
olmesartan,2756011000036108,412259001
bisacodyl,1865011000036109,387075009
acarbose,1755011000036100,386965004
desmopressin,2005011000036108,126189002
solifenacin,31960011000036106,407030007
gadobenic acid,920899011000036103,710810006
nizatidine,2398011000036104,386887009
phenytoin,2478011000036102,387220006
paracetamol + phenylephrine + guaifenesin,2442011000036104 + 2476011000036101 + 31323011000036100,
eplerenone,2078011000036106,407010008
nystatin,2404011000036104,387048002
hepatitis A vaccine,824441000168104,713618003
midodrine,1339021000168103,372504000
entacapone,2075011000036100,387018000
riociguat,700201000168100,713333001
rabeprazole,2544011000036102,422225001
empagliflozin + metformin,682171000168108 + 2318011000036103,703894008 + 372567009
cefepime,1912011000036107,96048006
anastrozole,1806011000036101,386910003
idursulfase,35836011000036105,84524005
rivaroxaban,78582011000036102,442031002
etoposide,2099011000036108,387316009
panobinostat,905111000168107,429068009
brompheniramine + phenylephrine,30863011000036101 + 2476011000036101,372775001 + 372771005
normal immunoglobulin,73641011000036108,713355009
rotigotine,35839011000036101,421924006
benzydamine,1845011000036101,421319000
pamidronate disodium,2039011000036100,396032007
lenalidomide,35840011000036106,421471009
folic acid,2140011000036102,63718003
azelastine + fluticasone propionate,30797011000036106 + 2135011000036105,372520005 + 396064000
